id;problem_name;problem_link;start;jhi_end;result;practice_session_id
1;client-server Visionary Bedfordshire;capacitor;2022-09-04T14:24:35;2022-09-04T18:21:31;FAIL;1
2;Credit Beauty;HDD River;2022-09-04T18:18:02;2022-09-04T02:58:48;PASS;2
3;connecting invoice;Table Chicken;2022-09-03T23:40:47;2022-09-04T00:56:16;FAIL;3
4;Bike;Massachusetts;2022-09-04T11:38:23;2022-09-03T23:24:32;PASS;4
5;Central programming;Automated up;2022-09-04T01:11:03;2022-09-03T19:11:28;FAIL;5
6;National;human-resource;2022-09-03T22:03:15;2022-09-03T23:12:09;FAIL;6
7;Pants Frozen capacitor;application Assistant 1080p;2022-09-04T11:28:45;2022-09-04T14:08:15;PASS;7
8;SMS;Music Jewelery Rubber;2022-09-04T13:26:27;2022-09-03T22:46:45;FAIL;8
9;e-tailers;Director Fresh;2022-09-04T10:57:51;2022-09-03T22:10:14;FAIL;9
10;envisioneer mindshare niches;navigate;2022-09-04T03:52:18;2022-09-04T16:06:40;FAIL;10
